Artista,Nome da Música,Letra da Música
Mastruz Com Leite,Boi Bumbá,"Ei boi, ei boi, ei boi do
Manganga (bis)
Quem não tem chacolateira não
tomar café nem chá. (bis)
Não toma café nem chá. (bis)

Ei boi, ei boi, ei boi do Ceará (bis)
Muié segura o menino que eu
agora vou dançar (bis)
Que eu agora vou dançar. (bis)

Ei boi, ei boi, ei boi do
Piauí (bis)
Quem não dançar esse boi não
pode sair daqui. (bis)
Não pode sair daqui. (bis)

Ei boi, ei boi, ei boi do
Macapá (bis)
Quem tá dançando esse boi é o
prefeito do lugar. (bis)
É o prefeito do lugar (bis)

Vamo repartir o boi pessoal?
Vamo!

Para onde vai a barrigueira?
Vai pra Miguel Pereira
E a vassora do rabo?
Vai para o Zé Nabo
De quem é o osso da pá?
De joãozinho da potiguar
E a carne quem tem na nuca?
E de seu Manduca
De quem é o quarto traseiro?
É para o Seu Joaquim marcineiro
E o osso alicate?
De Maria Batulate
Pra quem do a tripa fina?
De para Sabina
Pra quem manda esse bofe?
Do doutor Orlofe
E a capa do filé?
Mande para o Zezé
E os ossos do pé?
Pro Mário do Culé
Pra quem do o filé mignom?
Para o Doutor Calmon
E o osso da fuam?
De para o Doutor Borjan
Não é belo nem doutor?
Mais é trabalhador
Mais é véio macho sim senhor
Mais é véio macho sim senhor
É bom pra trabalhar arrocha o
ano até suar

Ei boi, ei boi, ei boi do
Manganga (bis)
Quem não tem chacolateira não
tomar café nem chá. (bis)"
Mastruz Com Leite,Cabeça Com Bob's,"Quando a gente namorava, você era uma princesa
Ai meu Deus eu me afobava diante de tanta beleza
Era um tal de roupa nova um tal de perfume francês
Que eu quase nem me aguentava pensando na primeira vez

Enxoval tudo de renda com o nosso nome bordado
Você era minha prenda e eu o feliz premiado
Era amor pra toda vida amor pra mais nunca acabar
Você bela e bem vestida e eu tão ancho de a te adorar

E agora que já faz muito tempo que a gente casou
Você não se cuida você relaxou
Até parece que brigou com o espelho

Sua cabeça tá sempre com bob
Sua caçola de um lado ela sobe
E a camisa rasgada da noite
De dia ela é robe Bis

Vá lá que seja que a vida é dura
E criar filhos tira a formosura
Mas se você não enfeitar o macará
Eu não posso tocar"
Mastruz Com Leite,Canarinha do Sertão,"Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró

No salão só vai dar verde e amarelo
Meu sertão verdinho é o que eu mais quero
Do pescoço pra baixo é forró
A seleção tá, tá, tá muito melhor
Brasil, Brasil, Brasil

Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró

Eu quero ver todo meu povo sorrindo
Chuva de gols, rosas e rosas florindo
Que nem forró vai dá no meio da canela
Nossa alegria vai ser verde e amarela
Brasil, Brasil, Brasil

Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró

O ""States'' e o mundo vão ter que aplaudir
De pé e em fé, mil gols terão que surgir
De pé e em fé, o Brasil jogar futebol
No arrasta-pé a gente dança o forró
Mastruz, mastruz, mastruz com Leite (Brasil, Brasil, Brasil)

Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró"
Mastruz Com Leite,Cartão Vermelho,"O amor que você fez nascer em mim se vai
Como se fosse um eco de uma multidão num clássico
Gritando gol
Eu dou cartão vermelho pra você
Por não saber jogar
Você cometeu faltas com quem só quis te amar
Vestiu sua camisa 10 tentando me humilhar
Você chutou pra fora amor

Você festeja com os amigos como se comemorasse um gol em mim
Quer ser o alvo da atenção como se fosse um artilheiro
O nosso amor é mais uma partida de futebol
E pra voce eu sempre sou a bola
Voce me chuta e depois corre atrás
Na grande área voce me trai"
Mastruz Com Leite,Casa Separada,"Não sou vaqueiro mas gosto de vaquejada
De forró de cachaçada, de uma mulher bonequeira
Não ando a cavalo, eu só ando de carro
Mas sou doido por embalo
Com as muies na bagaceira
Vaquejada é um esporte do Nordeste Brasileiro
De muher e de vaqueiro
Que gosta de forrozar
Sexta, sábado e domingo eu estou sempre bebendo
Tô doidinho, tô querendo uma mulher pra chamegar
Ai, ai, ai uma mulher pra chodozar
Ai, ai, ai uma mulher pra namorar
Ai, ai, ai uma mulher pra nós casar
Sexta, sábado e domingo e segunda se separar"
Mastruz Com Leite,Cavalo Lampeão,"Vou contar a minha história
Do meu cavalo alazão
Era meu melhor amigo
Eu dei-lhe o nome lampião
Por ser um destemido
Cavalo ligeiro, corajoso
Onde ele ia comigo
Gado valente era medroso

Fazia o que eu mandava
Subia serra, encerração
E em toda vaquejada
Eu era sempre campeão

E lampião, ê lampião
Meu cavalo ligeiro Bis
Mais veloz do meu sertão

Era o cavalo mais cotado
De toda região
Pois em toda a vaquejada
Todo boi ia pro chão
Um vaqueiro respeitado
Era sempre campeão
Tudo isso só por causa
Do meu cavalo lampião

Mas um dia o destino
Veio a gente separar
Eu estava adivinhando
Na pista não entrar

Uma novilha assassina
Me puxou logo pro chão
Com seus chifres afiados
Veio em minha direção
Sem defesas, eu estava
Partiu de lá, meu lampião
A novilha assassina
Acertou seu coração"
Mastruz Com Leite,Chance Para Recomeçar,"Senhor! Me responde senhor eu preciso
Só você poder ser meu amigo
E olhar minha situação

Senhor! Me diz se o que sinto é loucura
Ás vezes me sinto inseguro
Se vou fazê-la feliz

Ninguém quer vê-la perto de mim
Eu quero tê-la pra mim
Por que a amo senhor

Será por que antes eu tive alguém
Mas não fui feliz com ninguém
Eu acho que não era amor

Vou ser condenado? Me diz ô meu senhor
Será que não tenho a chance de recomeçar
Ela é minha vida, posso afirmar

Sei que a quero e amo
E vamos tentar

Ninguém quer vê-la perto de mim
Eu quero tê-la pra mim
Por que a amo senhor

Será por que antes eu não fui feliz
Já tive alguém e desfiz
Eu acho que não era amor"
Mastruz Com Leite,Chililique,"O maior forró pelo que eu ouvir dizer
É na praia da ilha, você pode crer

Que as dez da noite, o forró já tá de pé
Sanfoneiro abre a sanfona e só se vê chegá mulher
Tem buscapé, o caldo de feijão no bar
Com meia légua de escuta, o som do chinelo chiar

É chililique, chililique, chililique
Chililique, chililique, a poeira lavantar
É chililique, chililique, chililique
Se a gente quer um repique o cabra no zabumba dá"
Mastruz Com Leite,Chupando gelo,"Tu ta comendo vidro
Não pai
To chupando a pedra d água

Joga essa peste fora
Frio
Esse diabo dói o dente
Frio
Olha que eu fui pegar nela

E minha mão ficou dormente
Frio
Botei ela dentro do saco
Frio
E guardei que ninguém viu
Frio
Molhou a farinha toda
Frio
Fez o trabalho e fugiu

Tu ta comendo vidro
Não pai
To chupando a pedra d água"
Mastruz Com Leite,Ciúme de você,"Se você demora mais um pouco
Eu fico louco esperando por você
E digo que não me preocupa
Procuro uma desculpa
Mas que todo mundo vê

Que é ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você

Se você põe aquele seu vestido
Lindo e alguém olha pra você
Eu digo que já não gosto dele
Que você não vê que ele
Está ficando ""démodé""

Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você

Esse telefone que não para de tocar
Está sempre ocupado quando eu penso em lhe falar
Quero então saber logo quem lhe te telefonou
O que disse, o que queria, e o que você falou

Só de ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você


Se você me diz que vai sair
Sozinha, eu não deixo você ir
Entenda que o meu coração
Tem amor demais, meu bem e essa é a razão

Do meu ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você

Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você..."
Mastruz Com Leite,Como te Queria,"Se você soubesse como eu te queria
Como te olhava sempre que eu te via
Queria trazê-lo só pra mim
Se você soubesse como eu te amava
Nada nesse mundo ultrapassava um sentimento lindo assim

Sonhava ao teu lado acordar
E pela manhã sempre te amar
E fazê-lo todo meu
Ter sempre o teu abraço, teu sorriso
Você é o que eu preciso
Paraíso todo meu

Ui, ui, ui só você não vê
Que eu preciso de você
(Bis)"
Mastruz Com Leite,Como Um Sonho,"Como um sonho que se vai
O dia vai nascendo
As luzes se apagam
E você vai pra longe de mim

Como um sonho que se vai
O dia vai nascendo
E espero outra noite
Assim

Ter você
É tão gostoso poder te amar
Em teus braços poder ficar
E sentir esse mesmo amor
Que demontras em teu olhar

Tudo em você me conquista
A cada dia
O teu sorriso é minha alegria
O motivo do meu viver
Que já não vive sem você

Fico a te olhar
E agradeço por ter você
O teu amor é que me faz dizer
Como preciso de você

Sei que vou te amar
A cada dia bem mais, bem mais
E sentir contigo essa paz
Que só o teu amor me trás

Me entrego em teus braços
Por inteira
E viajo por um céu
Um paraíso só pra mim
Perco a noção do tempo
E no meu pensamento
É só você, você e eu

Como um sonho que se vai
O dia vai nascendo
As luzes se apagam
E você vai pra longe de mim

Como um sonho que se vai
O dia vai nascendo
E espero outra noite
Assim"
Mastruz Com Leite,Conto de Fadas,"Há tempo que estou tão sozinha
Carente sem você aqui
Olhando o vazio em minha vida e bem dentro de mim
Te amar foi um sonho vivido por mim que ninguém viveu
Você foi a melhor de mil coisas que me aconteceu
Eu tenho você como parte de mim e da minha alma
Você veio a mim como um conto de fadas

Estar sozinha sem você é viajar na contramão
É magoar demais, torturar demais o meu coração
É riacho sem água, procurando um caminho
Pássaro ferido voando perdido, buscando o seu ninho

Há tempo que estou tão sozinha
Carente sem você aqui
Olhando o vazio em minha vida e bem dentro de mim
Te amar foi um sonho vivido por mim que ninguém viveu
Você foi a melhor de mil coisas que me aconteceu
Eu tenho você como parte de mim e da minha alma
Você veio a mim como um conto de fadas

Estar sozinha sem você é viajar na contramão
É magoar demais, torturar demais o meu coração
É riacho sem água, procurando um caminho
Pássaro ferido voando perdido, buscando o seu ninho

Eu tenho você como parte de mim e da minha alma
Você veio a mim como um conto de fadas

Estar sozinha sem você é viajar na contramão
É magoar demais, torturar demais o meu coração
É riacho sem água, procurando um caminho
Pássaro ferido voando perdido, buscando o seu ninho"
Mastruz Com Leite,Cuidado com as coisas,"Cuidado com as coisas
As coisas que eu vou lhe dar
As coisas que eu lhe prometi
As coisas você vai gostar
A coisa melhor desse mundo
Quando a gente tem as coisas
E as coisas podem dar
São as coisas que ajudam outras coisas
Quando as outras coisas querem piorar
Assim muito cuidado com as coisas
Que as coisas é muito amor que eu vou te dar
Cuidado com as coisas
Agora lhe peço uma coisa
Muito jeito com as coisas
Que é pras coisas melhorar
Muita gente não aceita essas coisas
Que as coisas não é fácil de aceitar
Eu vou misturar coisa com coisa
E as coisas é muito amor que vou te dar"
Mastruz Com Leite,Despedida,"Se te quero eu ja nem sei
Pra que viver de fantasias
Voce foi tudo que um dia eu sonhei
O grande amor da minha vida
Eu que sempre acreditei
Em suas frases tao bonitas
Nos carinhos que voce me fez
Mas sem pensar na despedida

Boca que eu tanto beijei
Corpo que acariciei
Toda paixao ficou contida
Voce se foi e eu fiquei tao so

Sofrendo chorando morrendo
De amor
No quarto lembranças amargas
Que voce deixou
Choro tanto mas nao sei dizer
Se gosto mais de mim ou de voce"
Mastruz Com Leite,Diz que sou seu paraíso,"Tem algúem apaixonado ai?
valeu!

Vem amor mefaz feliz
E diz que me ama também
Diz que sou seu paraíso

Quando ficou tão sozinha
É que eu sei como eu te amo
Meu amor eu não queria
Ver o maor se separando
Mesmo que seja por pouco tempo
Amor não quero
Estar longe de você me desespero
Gosto de estar junto de ti
Só você me faz sentir
A vida é tudo e muito mais
Bem mais do que eu sonhei pra mim

Refrão
Vem amor mefaz feliz
E diz que me ama também
Diz que sou seu paraíso
Vem amor me ama em nossa cama
E me leva tanbém na paz dp teu sorriso

Vem se apaixonar
Vem se apaixonar
com forró Mastruz com Leite

Quando ficou tão sozinha
É que eu sei como eu te amo
Meu amor eu não queria
Ver o maor se separando
Mesmo que seja por pouco tempo
Amor não quero
Estar longe de você me desespero
Gosto de estar junto de ti
Só você me faz sentir
A vida é tudo e muito mais
Bem mais do que eu sonhei pra mim"
Mastruz Com Leite,É bom arrasta pé,"É bom arrasta pé
É bom arrasta pé
Se tiver pouca poeira
E se tiver muita mulher

É claro, pois tem fogueira
É claro que tem balas
É claro que no escorinho
Vai ter um amassa mamão

Refrão

Esse ano eu vou ser noivo
Com vocêquero me casar
Vamos pular a fogueira
E de um pulo só
Cair nos pés do altar

Refrão

Ligeiro que nem um traque
Por você me apaixonei
Feito fogos de artifício
Você me beijou
E eu me desmanchei

Refrão"
Mastruz Com Leite,Erro e Perdão,"Não desligue amor
Escute o que tenho pra falar
Te magoei demais
Só agora eu sei
O que é te perder

Estou sofrendo tanto
Sem ter você
Só eu sei a saudade que senti
As noites mal dormidas que eu vivi
Sem ter você

Te amo mais que a imensidão do mar
Me sinto uma onda nas pedras a se arrebentar
Eu quero apenas ouvi o teu perdão
Pra trazer de volta o meu coração
E chamar teu nome, a todo momento
Quero que saiba

No meu caminho um dia te encontrei
Me fez feliz demais hoje eu sei
Agora estou aqui a me arrepender
Hoje sou eu amanhã pode ser você
Me perdoa amor, não me diga adeus
Quero te dizer, te amo

Me perdoa amor, não me diga adeus
Quero te dizer, te amo"
Mastruz Com Leite,Estamos Dando Um Tempo,"A gente apenas está dando um tempo
Mas ainda sente a mesma paixão
Eu pra você não tenho mais orgulho
Você pra mim não tem opinião

Mas não nos permitimos
Gostar de outra pessoa
E assim que a raiva passa o amor perdoa

São dois em um os nossos corações
Pra que brigar se a gente não resiste
Se os meus olhos sem os seus são cegos
Se a sua boca sem a minha é triste

As nossas divergências
Saudade é a solução
Nós somos dominados pelo coração

Quando brigamos você perde o sono
Quando eu não ligo fica impaciente
Não tem problema que não se resolva
Não tem distância que separe a gente

E nós nos afastamos
Nem mesmo a gente crer
Não faço mais por onde esquecer você

E nós nos afastamos
Nem mesmo a gente crer
Não faço mais por onde esquecer você"
Mastruz Com Leite,Estrela Cadente,"Eu vi caindo do céu uma estrela cadente
Então de repente pensei em você
Uma noite linda, noite de São João
E o pedido que eu fiz menina foi pra ganhar seu coração

Fui pro arraiá, fui te procurar, encontrei você
Com chapéu de palha, o rosto pintado, tinha lindas tranças
Tudo aconteceu como eu sonhei, viva São João
Me fez tão feliz, veio me entregar o seu coração

Viva São João
Me fez tão feliz, veio me entregar o seu coração
(Bis)

Eu vi caindo do céu uma estrela cadente
Então de repente pensei em você
Uma noite linda, noite de São João
E o pedido que eu fiz menina foi pra ganhar seu coração

Fui pro arraiá, fui te procurar, encontrei você
Com chapéu de palha, o rosto pintado, tinha lindas tranças
Tudo aconteceu como eu sonhei, viva São João
Me fez tão feliz, veio me entregar o seu coração

Viva São João
Me fez tão feliz, veio me entregar o seu coração
(Bis)"
Mastruz Com Leite,Eu só quero um xodó,"Que falta eu sinto de um bem
Que falta me faz um xodó
Mas como eu não tenho ninguém
Eu levo a vida assim tão só

Eu só quero um amor
Que acabe o meu sofrer
Um xodó prá mim
Do meu jeito assim
Que alegre o meu viver"
Mastruz Com Leite,"Eu, Você e o Amor","Lembro
Do dia em que eu te conheci
Dos momentos que tivemos
A alegria que vivemos

Era eu, você, e o amor

Lembro
Daquela noite ao luar
Quando juntos caminhamos
Na areia nos amamos
O sol nasceu e a gente estava lá

Como posso te esquecer
Se eu te amo
Se eu te chamo
Se eu quero tudo outra vez!

Como posso te esquecer
Se eu te amo
Se eu te chamo
Se quero tudo outra vez"
